City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
307,soio,-6.1349,12.3689,21.86,85,17,3.26,AO,1690442098
308,broken hill,-31.95,141.4333,20.06,33,97,6.12,AU,1690442098
309,olinda,-8.0089,-34.8553,22.85,94,40,1.03,BR,1690442098
310,cam ranh,11.9214,109.1591,29.98,74,40,0.51,VN,1690442048
311,wellington,-41.2866,174.7756,10.81,80,75,7.2,NZ,1690441866
312,sangkhla buri,15.1555,98.4536,28.43,79,99,2.57,TH,1690442099
313,visakhapatnam,17.69,83.2093,29.94,74,75,7.72,IN,1690441503
314,broome,42.2506,-75.833,22.94,89,93,3.13,US,1690442100
315,xining,36.6167,101.7667,24.58,43,92,4.27,CN,1690441917
316,sezanne,48.7205,3.7234,18.88,87,100,7.44,FR,1690442101
317,sao gabriel da cachoeira,-0.1303,-67.0892,22.11,97,99,0.93,BR,1690442101
318,mexico,15.0646,120.7198,27.44,87,100,6.78,PH,1690441421
319,quellon,-43.1167,-73.6167,8.14,93,100,2.06,CL,1690442102
320,torghay,49.6339,63.4981,30.35,32,0,4.12,KZ,1690442102
321,nueva palmira,-33.8833,-58.4167,7.65,83,100,2.72,UY,1690442104
322,yashkul',46.1711,45.3435,31.99,31,0,7.38,RU,1690442104
323,fontanelas,38.8472,-9.4372,19.89,81,75,4.12,PT,1690442105
324,margaret river,-33.95,115.0667,13.71,69,89,5.95,AU,1690442105
325,saldanha,-33.0117,17.9442,13.35,84,100,5.06,ZA,1690442106
326,alesund,62.4723,6.1549,16.61,93,100,4.12,NO,1690441941
327,sur,22.5667,59.5289,31.84,61,100,3.4,OM,1690442106
328,kaifeng,34.7911,114.3483,36.8,33,100,4.74,CN,1690442107
329,callao,-12.0667,-77.15,20.16,77,100,4.12,PE,1690442107
330,champerico,14.3,-91.9167,27.15,79,14,1.49,GT,1690442107
331,alvarado,18.7667,-95.7667,27.23,80,100,1.79,MX,1690442107
332,mazagao,-0.115,-51.2894,24.03,93,5,1.15,BR,1690442108
333,constantia,44.1833,28.65,19.38,74,100,6.18,RO,1690442108
334,fort st. john,56.2499,-120.8529,13.94,94,100,5.66,CA,1690442108
335,jose maria morelos,23.3952,-103.8984,14.83,85,100,2.36,MX,1690442109
336,merowe,18.4833,31.8167,35.48,35,81,7.86,SD,1690442109
337,fisterra,42.9049,-9.2629,18.75,78,97,1.56,ES,1690442109
338,chicoana,-25.1009,-65.5331,6.14,79,0,0.71,AR,1690442109
339,richards bay,-28.783,32.0377,19.96,67,0,2.58,ZA,1690442110
340,carahue,-38.7,-73.1667,6.79,93,100,0.81,CL,1690442110
341,jayapura,-2.5333,140.7,29.66,88,100,1.43,ID,1690442093
342,vadso,70.0744,29.7487,13.49,93,100,3.6,NO,1690442111
343,miles city,46.4083,-105.8406,25.54,22,0,9.77,US,1690442111
344,hamilton,39.1834,-84.5333,26.97,72,40,5.14,US,1690442064
345,vilyuchinsk,52.9306,158.4028,16.15,87,100,2.8,RU,1690442112
346,tumayr,25.7039,45.868,41.69,8,85,5.27,SA,1690442112
347,tagta,41.6504,59.9164,36.09,25,77,5.68,TM,1690442112
348,kill devil hills,36.0307,-75.676,27.77,88,0,3.6,US,1690442112
